condition,role,n_player_trade_decisions,losses,gains,mean_delta,min_delta,loss_rate
preference_drift_v1_parallel_pairs_run_1,Builder,5,0,5,0.4255456583239513,0.20300600827460658,0.0
preference_drift_v1_parallel_pairs_run_1,Merchant,7,2,2,-0.02249136628703325,-0.28435842802688005,0.2857142857142857
preference_drift_v1_parallel_pairs_run_1,Weaver,8,2,6,0.21074553872659157,-0.24029601236896392,0.25
preference_drift_v1_parallel_pairs_run_2,Builder,5,0,5,0.38494445666903,0.1720246448595213,0.0
preference_drift_v1_parallel_pairs_run_2,Merchant,9,2,3,0.045697476893836374,-0.28435842802688005,0.2222222222222222
preference_drift_v1_parallel_pairs_run_2,Weaver,6,0,6,0.25705141426393663,0.005775104735047165,0.0
preference_drift_v1_parallel_pairs_run_3,Builder,5,0,5,0.40188796546789735,0.24817779460597666,0.0
preference_drift_v1_parallel_pairs_run_3,Merchant,7,2,1,-0.022634183396071483,-0.2853581477901477,0.2857142857142857
preference_drift_v1_parallel_pairs_run_3,Weaver,8,2,6,0.21074553872659157,-0.24029601236896392,0.25
preference_drift_v1_parallel_pairs_run_4,Builder,6,1,5,0.32078704722419166,-0.1720246448595213,0.16666666666666666
preference_drift_v1_parallel_pairs_run_4,Merchant,6,2,2,0.0,-0.20563864602226367,0.3333333333333333
preference_drift_v1_parallel_pairs_run_4,Weaver,6,0,6,0.25705141426393663,0.005775104735047165,0.0
preference_drift_v1_parallel_pairs_run_5,Builder,5,0,5,0.43629289443980157,0.2567421888538579,0.0
preference_drift_v1_parallel_pairs_run_5,Merchant,7,3,2,-0.011245683143516625,-0.20563864602226367,0.42857142857142855
preference_drift_v1_parallel_pairs_run_5,Weaver,6,0,6,0.2951248181002088,0.08478459878852007,0.0
preference_drift_v1_parallel_pairs_run_6,Builder,5,0,5,0.3911407293520471,0.20300600827460658,0.0
preference_drift_v1_parallel_pairs_run_6,Merchant,7,3,4,-0.011245683143516625,-0.28435842802688005,0.42857142857142855
preference_drift_v1_parallel_pairs_run_6,Weaver,6,0,6,0.2951248181002088,0.08478459878852007,0.0
preference_drift_v1_parallel_pairs_run_7,Builder,6,0,6,0.3546213819366261,0.08618405441057586,0.0
preference_drift_v1_parallel_pairs_run_7,Merchant,7,4,2,-0.02249136628703325,-0.28435842802688005,0.5714285714285714
preference_drift_v1_parallel_pairs_run_7,Weaver,7,0,7,0.2872921315671738,0.08478459878852007,0.0
preference_drift_v1_parallel_pairs_run_8,Builder,5,0,5,0.38494445666903,0.1720246448595213,0.0
preference_drift_v1_parallel_pairs_run_8,Merchant,9,2,4,0.045697476893836374,-0.28435842802688005,0.2222222222222222
preference_drift_v1_parallel_pairs_run_8,Weaver,6,0,6,0.2951248181002088,0.08478459878852007,0.0
